Estado,Municipio
Aguascalientes,Aguascalientes
Aguascalientes,Asientos
Aguascalientes,Calvillo
Aguascalientes,Jesús María
Aguascalientes,Rincón de Romos
Baja California,Ensenada
Baja California,Mexicali
Baja California,Tecate
Baja California,Tijuana
Baja California Sur,Comondú
Baja California Sur,La Paz
Baja California Sur,Los Cabos
Baja California Sur,Mulegé
Campeche,Campeche
Campeche,Carmen
Campeche,Champotón
Campeche,Escárcega
Coahuila,Acuña
Coahuila,Monclova
Coahuila,Piedras Negras
Coahuila,Saltillo
Coahuila,Torreón
Sonora,Ciudad Obregón
Sonora,Guaymas
Sonora,Hermosillo
Sonora,Nogales
Sonora,San Luis Río Colorado
Tabasco,Comalcalco
Tabasco,Cárdenas
Tabasco,Paraíso
Tabasco,Villahermosa
Tamaulipas,Ciudad Victoria
Tamaulipas,Matamoros
Tamaulipas,Nuevo Laredo
Tamaulipas,Reynosa
Tamaulipas,Tampico
Tlaxcala,Apizaco
Tlaxcala,Huamantla
Tlaxcala,Tlaxcala
Veracruz,Coatzacoalcos
Veracruz,Córdoba
Veracruz,Orizaba
Veracruz,Poza Rica
Veracruz,Veracruz
Veracruz,Xalapa
